,image_url,link,title,manufacturer,model,generation,year,min_price,max_price,mileage,time_online,last_seen,date_listed,sold,site
42,https://photos.webuycars.co.za/photobooth/033603097/Images/0336030970.webp,,2010 Toyota  Prado VX 3.0 TDI Auto,toyota,land-cruiser-prado,4th gen,2010,333900,347900,215000,41 days 07:44:50.626604,2024-08-14 15:40:11.351925,2024-07-04 07:55:20.725321,True,webuycars
43,https://photos.webuycars.co.za/photobooth/033706464/Images/0337064640.webp,,2014 BMW  3 Series 320d M Sport Auto (F30),bmw,3 series,,2014,163900,181900,188470,39 days 10:21:56.157505,2024-08-26 18:24:16.128494,2024-07-18 08:02:19.970989,True,webuycars
44,https://photos.webuycars.co.za/photobooth/034B00057/Images/034B000570.webp,,2003 Audi  A3 2.0 TDI Ambition,audi,a3,,2003,30000,30000,414478,0 days 23:36:39.404062,2024-08-05 07:35:42.323449,2024-08-04 07:59:02.919387,True,webuycars
45,https://photos.webuycars.co.za/photobooth/035606682/Images/0356066820.webp,,2008 Mercedes-Benz  A Class A 170 Classic Auto,mercedes-benz,a class,,2008,48900,48900,136100,0 days 00:00:00,2024-06-05 07:50:13.181581,2024-06-05 07:50:13.181581,True,webuycars
46,https://photos.webuycars.co.za/photobooth/038C05919/Images/038C059190.webp,,2024 Fiat  500 900t Cult Auto,mercedes-benz,c class,,2024,219900,219900,100,2 days 06:33:13.774633,2024-07-23 14:58:32.494211,2024-07-21 08:25:18.719578,True,webuycars
47,https://photos.webuycars.co.za/photobooth/03A505692/Images/03A5056920.webp,,2010 BMW  1 Series 116i (E87),bmw,1 series,,2010,62000,62900,267500,7 days 21:26:30.313005,2024-08-24 15:09:12.861916,2024-08-16 17:42:42.548911,True,webuycars
48,https://photos.webuycars.co.za/photobooth/03B003026/Images/03B0030260.webp,,2008 BMW  3 Series 320d Auto (E90),bmw,3 series,,2008,93000,93000,170000,0 days 00:00:00,2024-08-09 17:03:36.408488,2024-08-09 17:03:36.408488,True,webuycars
49,https://photos.webuycars.co.za/photobooth/03BB05062/Images/03BB050620.webp,,2016 BMW  3 Series 320d Auto (F30),bmw,3 series,,2016,120900,135900,154046,18 days 20:35:12.564086,2024-08-03 09:29:49.478134,2024-07-15 12:54:36.914048,True,webuycars
50,https://photos.webuycars.co.za/photobooth/03D807711/Images/03D8077110.webp,,1992 Toyota  Corolla 1.6 GL,toyota,corolla,,1992,39900,39900,267000,1 days 23:36:51.124861,2024-06-25 13:05:21.995904,2024-06-23 13:28:30.871043,True,webuycars
51,https://photos.webuycars.co.za/photobooth/03FC05083/Images/03FC050830.webp,,2023 Suzuki  Swift 1.2 GA,mercedes-benz,c class,,2023,168900,168900,9000,0 days 14:41:39.506966,2024-08-17 08:31:18.790467,2024-08-16 17:49:39.283501,True,webuycars
52,https://photos.webuycars.co.za/photobooth/03FC11918/Images/03FC119180.webp,,2017 Mercedes-Benz  C Class AMG C43 Coupe,mercedes-benz,c class,,2017,487900,495900,108000,13 days 13:29:51.132372,2024-07-26 21:33:43.166922,2024-07-13 08:03:52.034550,True,webuycars
53,https://photos.webuycars.co.za/photobooth/041910415/Images/0419104150.webp,,2019 Mercedes-Benz  C Class C180 Auto,mercedes-benz,c class,,2019,335900,335900,107073,0 days 00:00:00,2024-08-29 09:16:44.508859,2024-08-29 09:16:44.508859,True,webuycars
54,https://photos.webuycars.co.za/photobooth/043D07675/Images/043D076750.webp,,2018 Mercedes-Benz  C Class C180 Avantgarde Auto,mercedes-benz,c class,,2018,271900,278900,137000,26 days 00:13:42.167381,2024-08-06 09:15:53.704768,2024-07-11 09:02:11.537387,True,webuycars
55,https://photos.webuycars.co.za/photobooth/044113756/Images/0441137560.webp,,2001 BMW  5 Series 530i (E39),bmw,5 series,,2001,43900,49900,240000,9 days 19:20:09.196876,2024-07-19 12:30:16.803846,2024-07-09 17:10:07.606970,True,webuycars
56,https://photos.webuycars.co.za/photobooth/044809061/Images/0448090610.webp,,1993 Toyota  Corolla 1.6 GLE,toyota,corolla,,1993,26000,38000,416000,0 days 21:11:23.743565,2024-07-24 12:09:56.237776,2024-07-23 14:58:32.494211,True,webuycars
57,https://photos.webuycars.co.za/photobooth/045213561/Images/0452135610.webp,,2015 BMW  M4 Coupe M-DCT,bmw,m4,,2015,544000,544000,103000,1 days 11:44:07.459602,2024-07-02 09:17:06.077379,2024-06-30 21:32:58.617777,True,webuycars
58,https://photos.webuycars.co.za/photobooth/045810122/Images/0458101220.webp,,2014 BMW  1 Series 118i 5-Door Auto (F20),bmw,1 series,,2014,125000,130900,138900,2 days 21:24:06.447973,2024-06-28 13:33:07.023698,2024-06-25 16:09:00.575725,True,webuycars
