,manufacturer,model,generation,year,min_price,max_price,time_online,last_seen,date_listed,mileage,status,site,title,ad_id,image_url,display_name
5685,Audi,rs4,,2020,799700.0,799700.0,47 days 04:10:28.194385,2024-11-18 10:40:14.005854,2024-10-02 06:29:45.811469,143869,False,autotrader,2020 Audi RS4 Avant Quattro,27706829,https://img.autotrader.co.za/34435013/Fit640x480,Audi rs4
5686,Porsche,911,,1995,1399990.0,1399990.0,47 days 04:15:57.844332,2024-11-18 11:02:33.505818,2024-10-02 06:46:35.661486,174000,False,autotrader,1995 Porsche 911 Carrera (993),27706868,https://img.autotrader.co.za/33605619/Fit640x480,Porsche 911
5687,Bmw,1 series,,2017,299900.0,299900.0,16 days 09:52:48.283824,2024-10-18 16:25:32.563599,2024-10-02 06:32:44.279775,105000,True,autotrader,2017 BMW 1 Series 120d 5-Door Auto,27706884,https://img.autotrader.co.za/33605752/Crop800x600,Bmw 1 series
5688,Porsche,cayman,,2012,699900.0,749900.0,47 days 04:15:42.352565,2024-11-18 11:00:59.024345,2024-10-02 06:45:16.671780,90000,False,autotrader,2012 Porsche Cayman R Auto,27706889,https://img.autotrader.co.za/33606687/Fit640x480,Porsche cayman
5689,Bmw,3 series,,2013,130000.0,130000.0,5 days 02:07:00.722183,2024-10-07 08:46:04.619055,2024-10-02 06:39:03.896872,241000,True,autotrader,2013 BMW 3 Series 328i M Sport Auto,27706892,https://img.autotrader.co.za/33606328/Crop800x600,Bmw 3 series
5690,Porsche,cayenne,,2022,1895000.0,1895000.0,43 days 18:55:53.685675,2024-11-18 11:00:12.170463,2024-10-05 16:04:18.484788,74500,False,autotrader,2022 Porsche Cayenne GTS Coupe,27706930,https://img.autotrader.co.za/33651185/Fit640x480,Porsche cayenne
5691,Porsche,718-cayman,,2020,1865000.0,1865000.0,1 days 03:28:23.948479,2024-10-06 19:32:54.300110,2024-10-05 16:04:30.351631,7200,True,autotrader,2020 Porsche 718 Cayman 718 Cayman GT4,27706949,https://img.autotrader.co.za//Crop800x600,Porsche 718-cayman
5692,Suzuki,jimny,4th gen - JB74,2022,349800.0,359800.0,9 days 08:40:50.352545,2024-10-11 15:33:53.664722,2024-10-02 06:53:03.312177,35000,True,autotrader,2022 Suzuki Jimny 1.5 GL Allgrip,27706961,https://img.autotrader.co.za/33606430/Crop800x600,Suzuki jimny
5693,Porsche,cayenne,,2021,2175000.0,2175000.0,43 days 18:55:53.685675,2024-11-18 11:00:12.170463,2024-10-05 16:04:18.484788,28100,False,autotrader,2021 Porsche Cayenne GTS Coupe,27706971,https://img.autotrader.co.za/33654394/Fit640x480,Porsche cayenne
5694,Suzuki,jimny,3rd gen - JB43,2010,149500.0,149500.0,47 days 04:17:40.711822,2024-11-18 11:10:44.023999,2024-10-02 06:53:03.312177,198000,False,autotrader,2010 Suzuki Jimny 1.3,27706978,https://img.autotrader.co.za/33606627/Fit640x480,Suzuki jimny
5695,Bmw,3 series,,2015,239900.0,239900.0,47 days 04:12:11.975962,2024-11-18 10:51:15.872834,2024-10-02 06:39:03.896872,142000,False,autotrader,2015 BMW 3 Series 320i M Sport Auto,27706990,https://img.autotrader.co.za/33606719/Fit640x480,Bmw 3 series
5696,Bmw,1 series,,2023,629950.0,629950.0,4 days 12:47:51.283555,2024-10-06 19:20:35.563330,2024-10-02 06:32:44.279775,12000,True,autotrader,2023 BMW 1 Series 118i M Sport,27706993,https://img.autotrader.co.za//Crop800x600,Bmw 1 series
5697,Bmw,1 series,,2017,279900.0,279900.0,5 days 02:07:05.551193,2024-10-07 08:39:49.830968,2024-10-02 06:32:44.279775,114500,True,autotrader,2017 BMW 1 Series 118i 5-Door M Sport Auto,27707013,https://img.autotrader.co.za/33607190/Crop800x600,Bmw 1 series
5698,Bmw,3 series,,2019,690000.0,690000.0,4 days 12:47:44.795699,2024-10-06 19:26:48.692571,2024-10-02 06:39:03.896872,31000,True,autotrader,2019 BMW 3 Series 330d M Sport Launch Edition,27707029,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5699,Bmw,1 series,,2017,340000.0,340000.0,25 days 12:10:34.164879,2024-10-27 18:43:18.444654,2024-10-02 06:32:44.279775,136000,True,autotrader,2017 BMW 1 Series 120d 5-Door Auto,27707123,https://img.autotrader.co.za/33608555/Crop640x480,Bmw 1 series
5700,Bmw,1 series,,2012,159900.0,159900.0,47 days 04:10:27.903697,2024-11-18 10:43:12.183472,2024-10-02 06:32:44.279775,137599,False,autotrader,2012 BMW 1 Series 118i 5-Door Sport,27707158,https://img.autotrader.co.za/34224414/Fit640x480,Bmw 1 series
5701,Renault,sandero,,2016,117900.0,117900.0,47 days 04:16:56.733191,2024-11-18 11:07:04.876696,2024-10-02 06:50:08.143505,127224,False,autotrader,2016 Renault Sandero Stepway 66kW Turbo,27707169,https://img.autotrader.co.za/33609062/Fit640x480,Renault sandero
